"views","date_id","candidate"
18182,20160320,"Trump"
63,20160409,"Trump"
2581,20160129,"Clinton"
14979,20160505,"Trump"
651,20151127,"Trump"
61,20160306,"Clinton"
7383,20160119,"Trump"
6978,20160527,"Trump"
235,20151031,"Clinton"
189,20160430,"Clinton"
571,20151223,"Clinton"
2,20151121,"Clinton"
136,20160325,"Clinton"
2242,20151208,"Trump"
32141,20160223,"Trump"
125,20160312,"Clinton"
26142,20160331,"Trump"
14121,20160503,"Clinton"
143478,20160318,"Clinton"
4830,20151225,"Clinton"
6522,20160517,"Clinton"
39,20160109,"Clinton"
1015,20151224,"Trump"
4423,20151115,"Trump"
962,20151108,"Trump"
3764,20151106,"Trump"
22552,20160425,"Trump"
6845,20160519,"Trump"
157,20160325,"Trump"
8402,20151128,"Clinton"
14276,20160321,"Trump"
873,20151130,"Trump"
36089,20160121,"Clinton"
105,20160503,"Clinton"
147,20160129,"Clinton"
8927,20151129,"Clinton"
86,20151225,"Clinton"
1552,20160306,"Clinton"
16,20151031,"Clinton"
164,20160430,"Clinton"
408458,20160517,"Clinton"
6760,20160127,"Trump"
33,20151223,"Clinton"
927,20151030,"Trump"
7622,20160403,"Trump"
9108,20160428,"Clinton"
5836,20160429,"Clinton"
205,20160318,"Clinton"
7403,20160426,"Trump"
104,20151128,"Clinton"
266,20160121,"Clinton"
9475,20160509,"Trump"
57,20151129,"Clinton"
4358,20151110,"Trump"
42,20160430,"Trump"
7106,20160118,"Trump"
11928,20160208,"Clinton"
4359,20160523,"Clinton"
22232,20160209,"Trump"
6862,20160215,"Trump"
2631,20151227,"Clinton"
46057,20160330,"Clinton"
18132,20160309,"Trump"
25069,20151205,"Clinton"
1500,20160428,"Clinton"
3119,20151226,"Clinton"
14,20160318,"Trump"
77,20160503,"Clinton"
793,20160429,"Clinton"
7,20151225,"Clinton"
958,20151105,"Trump"
968,20160517,"Clinton"
28004,20160303,"Trump"
22097,20160213,"Clinton"
1209,20160108,"Trump"
35147,20160302,"Trump"
47,20160208,"Clinton"
3268,20160523,"Clinton"
97,20151227,"Clinton"
202,20160330,"Clinton"
8203,20160207,"Clinton"
7749,20160512,"Trump"
1171,20151213,"Trump"
484,20151205,"Clinton"
2,20151128,"Clinton"
33,20160503,"Trump"
6737,20160405,"Clinton"
32,20160121,"Clinton"
46,20151226,"Clinton"
5640,20160106,"Trump"
5,20151129,"Clinton"
59,20160517,"Trump"
52093,20160301,"Trump"
265,20160213,"Clinton"
19612,20160226,"Trump"
3996,20151124,"Trump"
5975,20160205,"Trump"
284,20160428,"Clinton"
10391,20160505,"Clinton"
71,20160207,"Clinton"
17986,20160227,"Trump"
22531,20160119,"Clinton"
256,20160429,"Clinton"
5017,20151211,"Trump"
3616,20151113,"Trump"
25836,20160117,"Trump"
296,20160405,"Clinton"
7203,20160515,"Trump"
7068,20160212,"Trump"
46886,20160208,"Clinton"
15184,20160308,"Trump"
313,20160523,"Clinton"
1080,20160113,"Trump"
6,20151227,"Clinton"
90,20160330,"Clinton"
48470,20160201,"Trump"
1866,20151210,"Trump"
49,20160428,"Trump"
8,20151205,"Clinton"
6339,20160424,"Trump"
12190,20151115,"Clinton"
22885,20151106,"Clinton"
710,20160505,"Clinton"
4515,20151107,"Trump"
1368,20160115,"Trump"
1953,20160119,"Clinton"
57,20160429,"Trump"
10,20151226,"Clinton"
20422,20160221,"Trump"
59388,20160501,"Trump"
769,20160213,"Clinton"
26163,20160128,"Trump"
47,20160523,"Trump"
8056,20160511,"Trump"
7207,20160321,"Clinton"
55,20160330,"Trump"
207484,20160207,"Clinton"
5673,20160529,"Trump"
16097,20160220,"Trump"
8210,20160210,"Trump"
1340,20151115,"Clinton"
120,20151106,"Clinton"
51973,20160127,"Clinton"
94,20160405,"Clinton"
8671,20160403,"Clinton"
11493,20160204,"Trump"
5203,20160418,"Trump"
7214,20160406,"Trump"
70789,20160426,"Clinton"
5721,20160321,"Clinton"
10453,20160509,"Clinton"
7188,20160401,"Trump"
184,20160505,"Clinton"
23115,20151110,"Clinton"
19534,20160118,"Clinton"
57,20160119,"Clinton"
708,20151125,"Trump"
6268,20160410,"Trump"
23518,20160215,"Clinton"
478,20160405,"Trump"
9852,20160309,"Clinton"
505,20160127,"Clinton"
310,20160403,"Clinton"
835,20160426,"Clinton"
5814,20160107,"Trump"
37,20160505,"Trump"
632,20160509,"Clinton"
9382,20160404,"Trump"
8,20151115,"Clinton"
45,20151106,"Clinton"
414,20151110,"Clinton"
839,20160118,"Clinton"
11150,20160326,"Trump"
119,20160215,"Clinton"
35835,20160202,"Trump"
98,20160309,"Clinton"
6261,20160512,"Clinton"
7135,20160103,"Trump"
207,20160321,"Clinton"
11011,20160106,"Clinton"
4219,20151028,"Trump"
3940,20151123,"Trump"
2699,20151124,"Clinton"
80,20160127,"Clinton"
115,20160403,"Clinton"
6810,20160101,"Trump"
3689,20151201,"Trump"
11996,20160322,"Trump"
221,20160512,"Clinton"
991,20151230,"Trump"
28873,20151211,"Clinton"
109,20160426,"Clinton"
12588,20151113,"Clinton"
24,20160321,"Trump"
2326,20160509,"Clinton"
2573,20160106,"Clinton"
4603,20151122,"Trump"
4053,20160515,"Clinton"
1686,20160104,"Trump"
74,20151110,"Clinton"
98,20160118,"Clinton"
32708,20160212,"Clinton"
12472,20160308,"Clinton"
3043,20160215,"Clinton"
181,20160309,"Clinton"
79,20151124,"Clinton"
2118,20160403,"Trump"
11399,20160328,"Trump"
14926,20160424,"Clinton"
5613,20160412,"Trump"
5624,20160525,"Trump"
17757,20160307,"Trump"
22215,20151107,"Clinton"
102,20160426,"Trump"
821,20151120,"Trump"
424,20151211,"Clinton"
170,20151113,"Clinton"
5320,20151114,"Trump"
98,20160509,"Trump"
112,20160515,"Clinton"
19055,20160315,"Trump"
1112,20160212,"Clinton"
6187,20160511,"Clinton"
1035,20151119,"Trump"
92,20160308,"Clinton"
11284,20160506,"Trump"
4215,20160529,"Clinton"
2378,20160512,"Clinton"
14171,20160210,"Clinton"
522,20160424,"Clinton"
6980,20160420,"Trump"
28,20151107,"Clinton"
28,20160106,"Clinton"
941,20151101,"Trump"
11075,20160324,"Trump"
4588,20151111,"Trump"
5563,20151212,"Trump"
12475,20160204,"Clinton"
13673,20160317,"Trump"
7249,20160219,"Trump"
11365,20160418,"Clinton"
6276,20160406,"Clinton"
1,20151124,"Clinton"
63317,20160502,"Trump"
13525,20160224,"Trump"
137,20160511,"Clinton"
6548,20151218,"Trump"
10701,20160401,"Clinton"
5716,20160112,"Trump"
43,20160512,"Trump"
7368,20160410,"Clinton"
1643,20160529,"Clinton"
86,20151211,"Clinton"
784,20160210,"Clinton"
10,20151113,"Clinton"
1058,20160515,"Clinton"
7072,20160120,"Trump"
1360,20160212,"Clinton"
122,20160204,"Clinton"
279,20160308,"Clinton"
132,20160418,"Clinton"
1580,20160406,"Clinton"
5124,20160414,"Trump"
15098,20160107,"Clinton"
85,20160424,"Clinton"
1541,20160401,"Clinton"
5819,20160409,"Trump"
869,20151112,"Trump"
14391,20160229,"Trump"
7,20151107,"Clinton"
875,20151203,"Trump"
108,20160410,"Clinton"
17453,20160305,"Trump"
7374,20160326,"Clinton"
8096,20151217,"Trump"
19576,20160202,"Clinton"
5352,20160411,"Trump"
3840,20151117,"Trump"
8713,20160103,"Clinton"
158,20160515,"Trump"
57749,20160130,"Trump"
28728,20160124,"Trump"
5899,20160530,"Trump"
8216,20160214,"Trump"
7748,20160511,"Clinton"
8940,20160331,"Trump"
62050,20151028,"Clinton"
2944,20151123,"Clinton"
214,20160529,"Clinton"
43,20160424,"Trump"
1000,20160107,"Clinton"
4070,20160210,"Clinton"
7095,20160211,"Trump"
5598,20160417,"Trump"
8989,20160508,"Trump"
840,20160326,"Clinton"
8048,20160101,"Clinton"
28534,20151201,"Clinton"
8817,20160322,"Clinton"
714,20160202,"Clinton"
9430,20160204,"Clinton"
160,20160418,"Clinton"
6499,20160126,"Trump"
106,20160103,"Clinton"
851,20151121,"Trump"
395,20160406,"Clinton"
9261,20160325,"Trump"
45,20160511,"Trump"
36683,20160312,"Trump"
2548,20151122,"Clinton"
882,20160401,"Clinton"
997,20151028,"Clinton"
23,20160529,"Trump"
246,20151123,"Clinton"
9532,20160102,"Trump"
204,20160410,"Clinton"
1284,20160109,"Trump"
5656,20151221,"Trump"
8282,20160419,"Trump"
8424,20160328,"Clinton"
8672,20160218,"Trump"
1071,20160101,"Clinton"
89,20151201,"Clinton"
2628,20160322,"Clinton"
47697,20160412,"Clinton"
6029,20160525,"Clinton"
12648,20160307,"Clinton"
2694,20160418,"Trump"
166,20160406,"Trump"
11340,20151114,"Clinton"
13249,20160401,"Trump"
79,20160107,"Clinton"
22981,20160129,"Trump"
36,20151122,"Clinton"
21136,20160306,"Trump"
61,20160410,"Trump"
22453,20160315,"Clinton"
924,20151031,"Trump"
58240,20160430,"Trump"
66,20160326,"Clinton"
25154,20160506,"Clinton"
58,20160202,"Clinton"
1155,20151223,"Trump"
13,20160103,"Clinton"
256,20160328,"Clinton"
32602,20160420,"Clinton"
1389,20160412,"Clinton"
2371,20160525,"Clinton"
89,20160307,"Clinton"
29913,20160318,"Trump"
19952,20151111,"Clinton"
159,20151028,"Clinton"
8,20151123,"Clinton"
28534,20151212,"Clinton"
7353,20151114,"Clinton"
12864,20160317,"Clinton"
103712,20160219,"Clinton"
83,20160315,"Clinton"
74,20160326,"Trump"
29257,20160224,"Clinton"
7211,20160522,"Trump"
712,20160506,"Clinton"
33,20160101,"Clinton"
16956,20151218,"Clinton"
31771,20160112,"Clinton"
2,20151201,"Clinton"
111,20160322,"Clinton"
19872,20160203,"Trump"
5567,20151231,"Trump"
206,20160420,"Clinton"
47094,20160503,"Trump"
6,20151122,"Clinton"
802,20151225,"Trump"
28904,20160120,"Clinton"
104,20151111,"Clinton"
16855,20160310,"Trump"
42,20151212,"Clinton"
9322,20160517,"Trump"
147108,20160317,"Clinton"
239,20160219,"Clinton"
6096,20160526,"Trump"
97,20160328,"Clinton"
375,20160224,"Clinton"
1868,20160322,"Trump"
5739,20160408,"Trump"
566,20151218,"Clinton"
55,20160112,"Clinton"
134,20160412,"Clinton"
28264,20160228,"Trump"
255,20160525,"Clinton"
1391,20160307,"Clinton"
17750,20160229,"Clinton"
18614,20151217,"Clinton"
731,20151128,"Trump"
9,20151114,"Clinton"
54127,20160411,"Clinton"
11927,20151117,"Clinton"
14383,20160121,"Trump"
4065,20151109,"Trump"
710,20151129,"Trump"
3567,20151204,"Trump"
4662,20160530,"Clinton"
589,20160120,"Clinton"
20094,20160214,"Clinton"
119,20160315,"Clinton"
6363,20160415,"Trump"
