"date_id","agg_views","video_shortened_id","candidate"
20151001,10961,1050,"Trump"
20151001,17258,356,"Clinton"
20151001,12663,501,"Trump"
20151001,44945,703,"Clinton"
20151001,53599,619,"Trump"
20151001,12736,205,"Clinton"
20151002,11621,1050,"Trump"
20151002,12764,205,"Clinton"
20151002,13339,501,"Trump"
20151002,19387,356,"Clinton"
20151002,47145,703,"Clinton"
20151002,56314,619,"Trump"
20151003,59098,619,"Trump"
20151003,12218,1050,"Trump"
20151003,14086,501,"Trump"
20151003,12786,205,"Clinton"
20151003,12121,516,"Clinton"
20151003,21710,356,"Clinton"
20151004,191725,311,"Clinton"
20151004,61924,619,"Trump"
20151004,12816,205,"Clinton"
20151004,12727,1050,"Trump"
20151004,24120,356,"Clinton"
20151004,14863,501,"Trump"
20151005,15575,501,"Trump"
20151005,192754,311,"Clinton"
20151005,64519,619,"Trump"
20151005,13262,1050,"Trump"
20151005,12838,205,"Clinton"
20151005,25998,356,"Clinton"
20151006,13180,516,"Clinton"
20151006,16414,501,"Trump"
20151006,195798,311,"Clinton"
20151006,27022,356,"Clinton"
20151006,66575,619,"Trump"
20151006,13762,1050,"Trump"
20151007,13710,516,"Clinton"
20151007,17169,501,"Trump"
20151007,199315,311,"Clinton"
20151007,28107,356,"Clinton"
20151007,68483,619,"Trump"
20151007,14206,1050,"Trump"
20151008,29118,356,"Clinton"
20151008,14674,1050,"Trump"
20151008,14230,516,"Clinton"
20151008,17802,501,"Trump"
20151008,199884,311,"Clinton"
20151008,70496,619,"Trump"
20151009,72765,619,"Trump"
20151009,200098,311,"Clinton"
20151009,15241,1050,"Trump"
20151009,30073,356,"Clinton"
20151009,18499,501,"Trump"
20151009,58027,703,"Clinton"
20151010,59227,703,"Clinton"
20151010,75099,619,"Trump"
20151010,15732,1050,"Trump"
20151010,200279,311,"Clinton"
20151010,30986,356,"Clinton"
20151010,19224,501,"Trump"
20151011,65867,703,"Clinton"
20151011,200443,311,"Clinton"
20151011,20030,501,"Trump"
20151011,32452,356,"Clinton"
20151011,77276,619,"Trump"
20151011,16188,1050,"Trump"
20151012,75729,703,"Clinton"
20151012,20845,501,"Trump"
20151012,200652,311,"Clinton"
20151012,36689,356,"Clinton"
20151012,79545,619,"Trump"
20151012,16755,1050,"Trump"
20151013,40063,356,"Clinton"
20151013,17364,1050,"Trump"
20151013,85688,703,"Clinton"
20151013,21704,501,"Trump"
20151013,200829,311,"Clinton"
20151013,82066,619,"Trump"
20151014,84499,619,"Trump"
20151014,200952,311,"Clinton"
20151014,17928,1050,"Trump"
20151014,41994,356,"Clinton"
20151014,94238,703,"Clinton"
20151014,22573,501,"Trump"
20151015,87002,619,"Trump"
20151015,18503,1050,"Trump"
20151015,201082,311,"Clinton"
20151015,101399,703,"Clinton"
20151015,211322,987,"Clinton"
20151015,23337,501,"Trump"
20151016,24050,501,"Trump"
20151016,89527,619,"Trump"
20151016,19066,1050,"Trump"
20151016,201167,311,"Clinton"
20151016,112427,703,"Clinton"
20151016,241583,987,"Clinton"
